2026-03-16 20:09:35,0D11B4,XA-MXB,23.4502,-99.1622,37000.0
2026-03-16 20:09:35,0D06E5,XA-ACM,18.8950,-99.1572,17700.0
2026-03-16 20:09:35,05D31E,N/A,23.3034,-99.1231,43000.0
2026-03-16 20:09:35,0D1146,XA-VMB,23.2847,-98.6289,37500.0
2026-03-16 20:09:35,0D081C,XA-VLD,18.7770,-98.5600,36000.0
2026-03-16 20:09:35,0C210E,HP-9913CMP,19.1320,-98.2061,34000.0
2026-03-16 20:09:35,0D03F4,XA-EAC,20.0259,-98.1675,30075.0
2026-03-16 20:09:35,0D0DE2,XA-JSO,19.6474,-98.1009,25000.0
2026-03-16 20:09:35,42441F,VQ-BBM,22.9097,-97.8683,41000.0
2026-03-16 20:09:35,A5CF66,N47357,20.1334,-97.8483,32550.0
2026-03-16 20:09:35,AA8A8A,N779AV,20.1067,-97.5925,34050.0
2026-03-16 20:09:35,A6B60A,N531VL,20.3084,-97.3326,36000.0
2026-03-16 20:09:35,0D0934,XA-VAK,19.7543,-96.3084,18775.0
2026-03-16 20:09:35,ACB46D,N918AK,19.3544,-96.1196,34000.0
2026-03-16 20:09:35,0C218D,HP-9932CMP,20.1221,-95.7039,34000.0
2026-03-16 20:09:35,0D0E29,XA-DAO,20.8718,-95.1893,38975.0
2026-03-16 20:09:35,0D09D4,XA-COS,21.0465,-95.1483,41000.0
2026-03-16 20:09:35,0D0AF7,XA-MAO,19.0298,-95.0797,40000.0
2026-03-16 20:10:02,0D11B4,XA-MXB,23.5021,-99.1699,37000.0
2026-03-16 20:10:02,05D31E,N/A,23.2566,-99.1422,43000.0
2026-03-16 20:10:02,0D06E5,XA-ACM,18.8836,-99.1307,17700.0
2026-03-16 20:10:02,0D081C,XA-VLD,18.7886,-98.6047,36050.0
2026-03-16 20:10:02,0D1146,XA-VMB,23.2393,-98.5927,37100.0
2026-03-16 20:10:02,0C210E,HP-9913CMP,19.1411,-98.2578,34000.0
2026-03-16 20:10:02,0D03F4,XA-EAC,20.0145,-98.2172,30000.0
2026-03-16 20:10:02,0D0DE2,XA-JSO,19.6527,-98.0509,25000.0
2026-03-16 20:10:02,A5CF66,N47357,20.1022,-97.8886,32125.0
2026-03-16 20:10:02,42441F,VQ-BBM,22.9762,-97.8478,41000.0
2026-03-16 20:10:02,AA8A8A,N779AV,20.1472,-97.6279,34050.0
2026-03-16 20:10:02,A6B60A,N531VL,20.3411,-97.3718,36000.0
2026-03-16 20:10:02,0D0934,XA-VAK,19.7890,-96.3273,19625.0
2026-03-16 20:10:02,ACB46D,N918AK,19.3965,-96.1510,34000.0
2026-03-16 20:10:02,0C218D,HP-9932CMP,20.1523,-95.7465,34000.0
